land_use_type_id,"unit_name",generic_land_use_type_id,"description","land_use_name"
1,"building_sqft",8,"Agriculture","agriculture"
2,"building_sqft",7,"Civic and Quasi-Public","civic"
3,"building_sqft",4,"Commercial","commercial"
4,"building_sqft",8,"Fisheries","fisheries"
5,"parcel_sqft",8,"Forest, harvestable","forest"
6,"parcel_sqft",8,"Forest, protected","forest"
7,"building_sqft",7,"Government","government"
8,"building_sqft",8,"Group Quarters","group_quarters"
9,"building_sqft",7,"Hospital, Convalescent Center","hosptial"
10,"building_sqft",5,"Industrial","industrial"
11,"building_sqft",7,"Military","military"
12,"building_sqft",8,"Mining","mining"
13,"building_sqft",1,"Mobile Home Park","mobile_home"
14,"building_sqft",2,"Multi-Family Residential","multi_family_residential"
15,"building_sqft",2,"Condo Residential","condo_residential"
16,"parcel_sqft",9,"n/a","NA"
17,"parcel_sqft",9,"No Land Use Code","NA"
18,"building_sqft",3,"Office","office"
19,"parcel_sqft",8,"Park and Open Space","park"
20,"building_sqft",8,"Parking","parking"
21,"building_sqft",8,"Recreation","recreation"
22,"building_sqft",8,"Right-of-Way","right_of_way"
23,"building_sqft",8,"School","school"
24,"building_sqft",1,"Single Family Residential","single_family_residential"
25,"building_sqft",5,"Transportation, Communication, Utilities","tcu"
26,"parcel_sqft",9,"Vacant Developable","vacant"
27,"parcel_sqft",9,"Vacant Undevelopable","vacant"
28,"building_sqft",5,"Warehousing","warehousing"
29,"parcel_sqft",9,"Water","water"
30,"building_sqft",6,"Mixed Use","mixed_use"
